distance_km, height_m, lat, lng
0, 604.7, 48.10364, 13.67166999999995
0.02, 605.5, 48.10380904234553, 13.671777197037386
0.041, 606.2, 48.10397808459137, 13.671884394779909
0.061, 607.2, 48.10415190400927, 13.671970761441003
0.081, 608.5, 48.10432926059892, 13.672041704192907
0.102, 610.1, 48.1045119477316, 13.672060796486448
0.122, 611.7, 48.10469384838029, 13.672087539296967
0.142, 612.8, 48.10487098313512, 13.67215964083141
0.163, 614, 48.10504648333099, 13.672240275805962
0.183, 615.6, 48.10522187262107, 13.672318662421617
0.203, 619.3, 48.10538756457134, 13.672200311312054
0.223, 623, 48.10555708760218, 13.672097661450834
0.244, 626.3, 48.10573484348752, 13.67202946183943
0.264, 628, 48.10591791493894, 13.672009120669145
0.284, 629.7, 48.10610098638679, 13.67198877935391
0.305, 631.3, 48.10628329178338, 13.671957866062371
0.325, 632.5, 48.10645985933975, 13.671884732321587
0.345, 632, 48.10653693083705, 13.67165091068432
0.366, 631.1, 48.10670890218618, 13.671573423891573
0.386, 631.1, 48.10688670661871, 13.671641809944504
0.406, 631.2, 48.10706451101063, 13.671710196470713
0.427, 630.9, 48.1072471922373, 13.671713165564597
0.447, 629.9, 48.10742175728921, 13.671644584652995
0.467, 627.4, 48.10746874887172, 13.67141311389696
0.488, 624.8, 48.10742453461029, 13.67114676154506
0.508, 621.9, 48.10736827874089, 13.670885183484643
0.528, 619.1, 48.10730726850787, 13.670625890107317
0.548, 616.3, 48.10723279830238, 13.67037538610964
0.569, 613.3, 48.1071474504452, 13.670131985462717
0.589, 610.2, 48.10706210207404, 13.669888585624221
0.609, 607.5, 48.1069668322131, 13.66965462244525
0.63, 605, 48.10685601440039, 13.669435447419346
0.65, 602.4, 48.10674519617096, 13.669216273338634
0.67, 599.7, 48.10663437752476, 13.668997100203
0.691, 597, 48.1065152065887, 13.668789396659236
0.711, 594.9, 48.10637898903273, 13.668605101742287
0.731, 593.3, 48.1062427711821, 13.668420807802136
0.752, 592.1, 48.10612403013273, 13.668211769976438
0.772, 591, 48.10602933805364, 13.667978013811194
0.792, 589.5, 48.10596386549867, 13.667722446846028
0.813, 587.9, 48.10591362671515, 13.667458028966166
0.833, 586.3, 48.10586338732508, 13.667193611603125
0.853, 584.7, 48.10581314732845, 13.666929194757017
0.873, 582.6, 48.10577321612144, 13.666661031819444
0.894, 580.4, 48.10573693836859, 13.666391541325424
0.914, 578.1, 48.10572146289218, 13.666118034238252
